,cloudCover,dewPoint,windBearing,precipProbability,windSpeed,summary,precipAccumulation,precipType,humidity,apparentTemperature,pressure,uvIndex,visibility,precipIntensity,temperature,icon,time
1356994800,0.35,-6.12,212,0,4.37,Partly Cloudy,,,0.4,3.44,1011.91,0,13.12,0,6.44,partly-cloudy-night,1356994800
1356998400,0.35,-6.45,207,0,3.28,Partly Cloudy,,,0.4,3.64,1011.69,0,13.15,0,6.11,partly-cloudy-night,1356998400
1357002000,0.35,-6.07,197,0,3.21,Partly Cloudy,,,0.46,1.89,1011.6,0,13,0,4.62,partly-cloudy-night,1357002000
1357005600,0.35,-5.79,194,0,2.83,Partly Cloudy,,,0.58,-1.42,1012,0,12.67,0,1.6,partly-cloudy-night,1357005600
1357009200,0.33,-5.92,191,0,2.84,Partly Cloudy,,,0.63,-3.12,1012.37,0,12.54,0,0.2,partly-cloudy-night,1357009200
1357012800,0.27,-5.8,188,0,4.3,Partly Cloudy,,,0.68,-5.16,1012.51,0,12.71,0,-0.54,partly-cloudy-night,1357012800
1357016400,0.12,-6.26,191,0,2.26,Clear,,,0.66,-3.62,1012.64,0,12.6,0,-0.72,clear-night,1357016400
1357020000,0.12,-6.17,197,0,3.8,Clear,,,0.71,-6.09,1012.87,0,12.49,0,-1.59,clear-night,1357020000
1357023600,0.14,-5.64,211,0,2.86,Clear,,,0.72,-4.86,1013.58,0,12.52,0,-1.24,clear-day,1357023600
1357027200,0.13,-5.24,217,0,2.88,Clear,,,0.74,-4.89,1013.74,0,11.62,0,-1.26,clear-day,1357027200
1357030800,0.52,-5.29,217,0,2.58,Partly Cloudy,,,0.75,-4.77,1014.2,1,11.14,0,-1.4,partly-cloudy-day,1357030800
1357034400,0.56,-5.62,217,0,2.01,Partly Cloudy,,,0.78,-5.1,1014.46,1,11.18,0,-2.26,partly-cloudy-day,1357034400
1357038000,0.36,-5.71,241,0,2.01,Partly Cloudy,,,0.76,-4.94,1014.55,1,11.38,0,-2.12,partly-cloudy-day,1357038000
1357041600,0.37,-5.26,240,0,2.24,Partly Cloudy,,,0.82,-5.72,1015.18,1,11.23,0,-2.54,partly-cloudy-day,1357041600
1357045200,0.43,-4.94,232,0,2.61,Partly Cloudy,,,0.83,-6.14,1015.66,0,10.59,0,-2.54,partly-cloudy-day,1357045200
1357048800,0.63,-4.78,236,0,2.37,Mostly Cloudy,,,0.85,-6.01,1015.9,0,10.27,0,-2.65,partly-cloudy-day,1357048800
