,temperature,occurencies,cumul
0,34.0,3.0,3
1,33.0,2.0,5
2,32.0,10.0,15
3,31.0,7.0,22
4,30.0,12.0,34
5,29.0,18.0,52
6,28.0,25.0,77
7,27.0,32.0,109
8,26.0,26.0,135
9,25.0,49.0,184
10,24.0,56.0,240
11,23.0,79.0,319
12,22.0,98.0,417
13,21.0,133.0,550
14,20.0,160.0,710
15,19.0,169.0,879
16,18.0,221.0,1100
17,17.0,216.0,1316
18,16.0,239.0,1555
19,15.0,287.0,1842
20,14.0,280.0,2122
21,13.0,353.0,2475
22,12.0,384.0,2859
23,11.0,454.0,3313
24,10.0,372.0,3685
25,9.0,344.0,4029
26,8.0,323.0,4352
27,7.0,289.0,4641
28,6.0,237.0,4878
29,5.0,234.0,5112
30,4.0,227.0,5339
31,3.0,226.0,5565
32,2.0,323.0,5888
33,1.0,368.0,6256
34,-0.0,458.0,6714
35,-1.0,361.0,7075
36,-2.0,346.0,7421
37,-3.0,365.0,7786
38,-4.0,228.0,8014
39,-5.0,188.0,8202
40,-6.0,158.0,8360
41,-7.0,173.0,8533
42,-8.0,103.0,8636
43,-9.0,50.0,8686
44,-10.0,30.0,8716
45,-11.0,19.0,8735
46,-12.0,6.0,8741
47,-13.0,5.0,8746
48,-14.0,5.0,8751
49,-15.0,4.0,8755
50,-16.0,2.0,8757
51,-17.0,1.0,8758
